,restaurant,online_order,book_table,rating,votes,cuisines,average_cost,restaurant_type,locality
23214,Bhojohori Manna,Yes,No,3.7,666,"Bengali, Mughlai",650.0,Dine-out,JP Nagar
23216,Nouvelle Garden,No,No,3.7,203,"North Indian, Continental, Italian",900.0,Dine-out,JP Nagar
23217,TAB - Take A Break,No,No,4.1,522,"Cafe, Continental, Italian",550.0,Dine-out,JP Nagar
23218,Chatori Gali,No,No,2.9,51,"North Indian, Street Food",600.0,Dine-out,JP Nagar
23219,Swathi Restaurant,Yes,No,3.8,49,"Mangalorean, North Indian, Chinese",400.0,Dine-out,JP Nagar
23220,Brundhavana Pure Veg,Yes,No,3.7,98,"South Indian, North Indian, Chinese, Beverages",500.0,Dine-out,JP Nagar
23221,Beijing Bites,No,No,4.0,99,"Chinese, Thai",850.0,Dine-out,JP Nagar
23223,Gujrati Mess,Yes,No,3.6,18,Gujarati,200.0,Dine-out,JP Nagar
23224,Onesta,Yes,Yes,4.4,4410,"Pizza, Cafe, Italian",600.0,Dine-out,JP Nagar
23225,Royal Chef Naati Oota,No,No,4.0,194,"South Indian, Biryani, North Indian",500.0,Dine-out,JP Nagar
23226,Shanthi Sagar,Yes,No,3.6,519,"South Indian, North Indian, Chinese",400.0,Dine-out,JP Nagar
23227,White Horse,No,No,3.8,179,"North Indian, Mangalorean, Chinese",400.0,Dine-out,JP Nagar
23228,Spice Code,No,Yes,3.9,165,"South Indian, North Indian, Chinese, Biryani",1000.0,Dine-out,JP Nagar
23229,Cafe Potpourri,Yes,No,3.7,132,"Cafe, Sandwich, North Indian, Beverages, Desserts",400.0,Dine-out,JP Nagar
23230,Crafted Plate,Yes,Yes,4.2,239,"Cafe, Asian, Burger, Continental, Italian, Salad",600.0,Dine-out,JP Nagar
23231,Coconut Grove,No,No,3.4,97,"South Indian, Chettinad, Kerala, Seafood",1100.0,Dine-out,JP Nagar
23232,Woody's,Yes,No,2.6,208,"Chinese, South Indian, North Indian",650.0,Dine-out,JP Nagar
23233,Flow - Terrace Bar & Grill,No,No,3.8,82,"Pizza, Continental, North Indian, Chinese",1000.0,Dine-out,JP Nagar
23234,Khanasutra,No,No,3.5,19,"North Indian, South Indian, Continental",500.0,Dine-out,JP Nagar
23235,De Oxford Cafe,No,No,3.7,34,"Cafe, Beverages, Fast Food",500.0,Dine-out,JP Nagar
23236,Funky Punjab,Yes,No,3.9,410,"North Indian, Chinese",500.0,Dine-out,JP Nagar
23237,Vinaya Coffee Moments,Yes,No,3.8,46,"Burger, Cafe, Desserts, Sandwich, Italian",450.0,Dine-out,JP Nagar
23238,Dakshin Food Palace,Yes,No,3.7,43,"South Indian, North Indian, Chinese",450.0,Dine-out,JP Nagar
23239,New Kabab Zone,Yes,No,2.9,51,"North Indian, Chinese",500.0,Dine-out,JP Nagar
23240,Brew Point,Yes,No,3.6,10,"Cafe, American, Burger, Sandwich, Fast Food",500.0,Dine-out,JP Nagar
23241,The OnyThe HHI Select Bengaluru,No,No,3.3,177,"North Indian, Chinese, Continental",950.0,Dine-out,JP Nagar
23242,Gam's Delicacy,No,No,3.2,6,"North Indian, Chinese, Assamese",800.0,Dine-out,JP Nagar
23243,Re Malnad Nati Style Hotel,Yes,No,3.6,16,South Indian,400.0,Dine-out,JP Nagar
23245,Sampoorna,Yes,No,3.6,70,"Chinese, North Indian",600.0,Dine-out,JP Nagar
23246,Spice Up,Yes,No,3.8,146,Chinese,600.0,Dine-out,JP Nagar
23247,Jaganath Restaurant And Hotel,No,No,3.2,8,North Indian,300.0,Dine-out,JP Nagar
23248,Beach Hut,No,No,3.5,134,"North Indian, Chinese",650.0,Dine-out,JP Nagar
23249,Kaizen Wellness Kitchen,Yes,No,3.7,37,"Asian, Continental, European",800.0,Dine-out,JP Nagar
23250,Delhi Ke Bawarchi,No,No,4.0,88,"North Indian, Chinese, Fast Food",500.0,Dine-out,JP Nagar
23251,Venkateshwara Sweets and Restaurant,No,No,3.6,41,"South Indian, Mithai, Chinese, North Indian",400.0,Dine-out,JP Nagar
23252,Zeeshan,Yes,No,3.1,320,"North Indian, Kebab, Biryani, Rolls",700.0,Dine-out,JP Nagar
23253,The Cravery,Yes,No,2.6,18,Cafe,500.0,Dine-out,JP Nagar
23254,Sambram Biriyani Paradise,Yes,No,3.6,96,"Biryani, North Indian, Chinese",600.0,Dine-out,JP Nagar
23255,Thayee Touch,No,No,3.6,30,"North Indian, Chinese, South Indian",450.0,Dine-out,JP Nagar
23256,Cuppa,No,No,3.4,48,"Cafe, Fast Food",550.0,Dine-out,JP Nagar
23257,The Pavillion,No,No,2.7,43,"North Indian, Continental, South Indian, Chinese",1000.0,Dine-out,JP Nagar
23258,Wangs Kitchen,Yes,No,2.8,39,Chinese,1000.0,Dine-out,JP Nagar
23259,Eat Repeat Express,Yes,No,3.2,20,"North Indian, South Indian, Chinese, Biryani, Mexican",700.0,Dine-out,JP Nagar
23260,Empire Restaurant,Yes,No,4.1,2402,"North Indian, Mughlai, South Indian, Chinese",750.0,Dine-out,JP Nagar
23261,Mast Kalandar,No,No,2.3,176,North Indian,450.0,Dine-out,JP Nagar
23262,"Malnad Blossom, Coffee & Cream",No,No,3.8,33,Cafe,300.0,Dine-out,JP Nagar
23263,Kakal Kai Ruchi,No,No,3.9,30,"South Indian, North Indian, Chinese",450.0,Dine-out,JP Nagar
23264,Kamat Swaad,No,No,3.9,194,"South Indian, North Indian, Chinese",400.0,Dine-out,JP Nagar
23265,Cafe Coffee Day,Yes,No,3.1,34,"Cafe, Fast Food",900.0,Dine-out,JP Nagar
23266,New Prashanth Hotel,Yes,No,3.0,64,"South Indian, Biryani, Chinese, North Indian",750.0,Dine-out,JP Nagar
23267,Deccan Spice,No,No,3.5,65,"North Indian, South Indian, Biryani",750.0,Dine-out,JP Nagar
23268,NEW SUNRISE RESTAURANTS,No,No,2.7,39,"North Indian, Chinese, Biryani",500.0,Dine-out,JP Nagar
23269,Turquoise,No,No,2.8,56,North Indian,1200.0,Dine-out,JP Nagar
23270,The Brew - Aurick Boutique Hotel,No,No,3.1,16,"North Indian, South Indian, Chinese, Grill",700.0,Dine-out,JP Nagar
23271,The Maori - Aurick Boutique Hotel,No,No,3.5,44,"Chinese, North Indian",1000.0,Dine-out,JP Nagar
23272,Anju's Cafe,No,No,3.4,6,"Cafe, North Indian",600.0,Dine-out,JP Nagar
23273,Andhra Grills,No,No,3.0,55,"Andhra, North Indian, Biryani",800.0,Dine-out,JP Nagar
23274,Targaryen's Kitchen,No,No,3.6,25,"North Indian, Bengali, Chinese",550.0,Dine-out,JP Nagar
23275,Eagle Bar & Restaurant,No,No,3.1,14,"North Indian, Chinese",700.0,Dine-out,JP Nagar
23276,Sea Horse,No,No,3.4,9,"Seafood, Chinese, South Indian, North Indian",500.0,Dine-out,JP Nagar
23277,Durbari Restaurant,No,No,3.2,4,"North Indian, Chinese, Mughlai",600.0,Dine-out,JP Nagar
23280,Chung Wah Opus,Yes,No,3.0,57,"Chinese, Thai",650.0,Dine-out,JP Nagar
23282,Petoo,No,No,3.7,48,"North Indian, Fast Food, Street Food",800.0,Dine-out,JP Nagar
23284,SV Juice Corner,No,No,3.3,6,"Beverages, Fast Food",150.0,Dine-out,JP Nagar
23285,Zyksha,No,No,3.4,9,Fast Food,200.0,Dine-out,JP Nagar
23289,Juice Buzz,No,No,3.1,10,Juices,200.0,Dine-out,JP Nagar
23295,Targaryen's Kitchen,Yes,No,3.6,43,"Chinese, North Indian, Mughlai",600.0,Dine-out,JP Nagar
23296,Eat & Joy Restaurant,Yes,No,3.1,7,"Fast Food, Finger Food",300.0,Dine-out,JP Nagar
23297,Skytouch Le Cafe,Yes,No,3.7,127,"Cafe, Italian, Desserts",700.0,Dine-out,JP Nagar
23298,Thirsty Tiger,No,Yes,3.5,54,"Continental, Finger Food",1300.0,Dine-out,JP Nagar
23299,Pizza Hut,Yes,No,3.9,185,"Pizza, Fast Food",750.0,Dine-out,JP Nagar
23300,Aditya Uphar,No,No,3.5,30,"South Indian, Chinese, North Indian",200.0,Dine-out,JP Nagar
23301,Sri Krishna Sagar,No,No,3.0,54,"South Indian, North Indian, Chinese, Street Food",300.0,Dine-out,JP Nagar
23302,Woodee Pizza,Yes,No,2.7,85,"Cafe, Pizza, Fast Food, Beverages",500.0,Dine-out,JP Nagar
23303,Cafe Mist,Yes,No,3.8,187,"Cafe, American, Continental, Italian",500.0,Dine-out,JP Nagar
23304,Amritsari Kulcha Land,Yes,No,4.0,260,North Indian,300.0,Dine-out,JP Nagar
23306,Mavalli Tiffin Room (MTR),No,No,4.1,873,South Indian,300.0,Dine-out,JP Nagar
23307,California Burrito,No,No,4.1,98,"Mexican, Fast Food",400.0,Dine-out,JP Nagar
23308,Cheesiano Pizza,Yes,Yes,4.0,205,"Pizza, Italian",700.0,Dine-out,JP Nagar
23309,Bohra Bohra Caf,Yes,No,3.6,49,Bohri,300.0,Dine-out,JP Nagar
23310,KFC,No,No,3.9,440,"Burger, Fast Food",400.0,Dine-out,JP Nagar
23311,Momo Jojo,Yes,No,4.3,539,"Chinese, Tibetan, Momos",300.0,Dine-out,JP Nagar
23312,The Hunger Room,Yes,No,3.9,37,"Continental, Sandwich, Burger, Italian, Salad, Pizza",400.0,Dine-out,JP Nagar
23314,Maa'r Rannaghor,Yes,No,3.8,22,"Bengali, Chinese",400.0,Dine-out,JP Nagar
23316,Pizza Paradise,Yes,No,3.6,60,Pizza,500.0,Dine-out,JP Nagar
23317,Dakshin Cafe,Yes,No,4.1,140,South Indian,100.0,Dine-out,JP Nagar
23318,Tasty Bites,Yes,No,3.8,217,North Indian,450.0,Dine-out,JP Nagar
23319,Faasos,Yes,No,3.9,313,"North Indian, Biryani, Fast Food",500.0,Dine-out,JP Nagar
23320,McDonald's,Yes,No,3.8,184,"Burger, Fast Food",500.0,Dine-out,JP Nagar
23321,Tandoor Chai House,Yes,No,3.5,7,"Street Food, Sandwich, Rolls, Beverages",200.0,Dine-out,JP Nagar
23322,Domino's Pizza,Yes,No,4.0,319,"Pizza, Fast Food",400.0,Dine-out,JP Nagar
23323,Sri Rajasthani Foods,Yes,No,3.6,10,"Rajasthani, North Indian",200.0,Dine-out,JP Nagar
23324,Namma Banashankari Donne Biryani,Yes,No,4.0,99,"Biryani, Kebab",250.0,Dine-out,JP Nagar
23327,Sri Raghavendra Davanagere Benne Dose Hotel,No,No,4.0,36,South Indian,200.0,Dine-out,JP Nagar
23328,Biggies Burger 'n' More,Yes,No,4.1,206,"Cafe, Burger, Fast Food",400.0,Dine-out,JP Nagar
23329,Marenahalli Donne Biriyani,Yes,No,3.9,261,"Biryani, Fast Food",300.0,Dine-out,JP Nagar
23330,B.M.W Bhookh Mitaane Wala,Yes,No,3.6,12,"North Indian, South Indian, Chinese",500.0,Dine-out,JP Nagar
23331,Five Star Chicken,No,No,3.3,5,"Roast Chicken, Burger",300.0,Dine-out,JP Nagar
23332,The Foodyz,Yes,No,3.7,43,"North Indian, Chinese",500.0,Dine-out,JP Nagar
23334,Dosa Bazaar,Yes,No,4.0,113,"Street Food, South Indian",200.0,Dine-out,JP Nagar
23335,Meat And Eat,Yes,No,3.7,81,"Fast Food, Burger",500.0,Dine-out,JP Nagar
23336,The little Kitchen,Yes,No,3.4,5,"Chinese, North Indian",300.0,Dine-out,JP Nagar
23337,Mahek Pizza,Yes,No,3.9,38,Pizza,400.0,Dine-out,JP Nagar
23338,More Pizza,Yes,No,3.8,46,Pizza,450.0,Dine-out,JP Nagar
23339,Bramhin Tiffins,No,No,3.6,12,South Indian,150.0,Dine-out,JP Nagar
23341,Roll N Rock,Yes,No,3.7,33,"Chinese, North Indian, Mughlai, Rolls",400.0,Dine-out,JP Nagar
23342,New Udupi Grand,Yes,No,3.5,47,"South Indian, North Indian, Chinese",300.0,Dine-out,JP Nagar
23343,Nammura Upahara,No,No,3.8,40,South Indian,100.0,Dine-out,JP Nagar
23344,Bhukkhad Baba,Yes,No,3.7,132,"North Indian, Beverages",250.0,Dine-out,JP Nagar
23345,Pushpa Darshini,No,No,3.6,20,South Indian,100.0,Dine-out,JP Nagar
23346,Goli Vada Pav No. 1,Yes,No,3.2,44,Street Food,200.0,Dine-out,JP Nagar
23347,Punjabi Food Corner,Yes,No,3.0,354,"North Indian, Chinese, Street Food",400.0,Dine-out,JP Nagar
23348,Paratha Plaza,Yes,No,3.8,171,North Indian,250.0,Dine-out,JP Nagar
23350,Mirch Masala,Yes,No,3.4,6,North Indian,500.0,Dine-out,JP Nagar
23351,Ningi Family Restaurant,No,No,3.5,10,"South Indian, Biryani, Chinese",400.0,Dine-out,JP Nagar
23352,Amrit,No,No,3.4,24,"North Indian, Seafood",600.0,Dine-out,JP Nagar
23353,Sandwichwallas,Yes,No,3.6,33,Fast Food,200.0,Dine-out,JP Nagar
23354,Prasiddhi Food Corner,Yes,No,3.7,171,"Fast Food, North Indian, South Indian",200.0,Dine-out,JP Nagar
23355,Fish And Dish,Yes,No,3.7,23,"Mangalorean, Chinese",350.0,Dine-out,JP Nagar
23356,Grills & Rolls,Yes,No,2.5,321,"North Indian, Chinese, Fast Food, Rolls, Juices",400.0,Dine-out,JP Nagar
23357,Subway,Yes,No,4.0,273,"Salad, Fast Food",600.0,Dine-out,JP Nagar
23358,Juice Fresco & Pizza,Yes,No,3.4,12,"Beverages, Pizza",300.0,Dine-out,JP Nagar
23359,Atithi Biryani Corner,Yes,No,3.3,4,"Biryani, South Indian",200.0,Dine-out,JP Nagar
23361,Hot Rolls & House Of Kebabs,Yes,No,3.1,55,"Rolls, Kebab, Biryani",200.0,Dine-out,JP Nagar
23362,Chaitanya Cafe,Yes,No,3.9,92,"South Indian, North Indian, Fast Food",300.0,Dine-out,JP Nagar
23363,SLV Restaurant,No,No,4.2,378,"South Indian, North Indian, Chinese",300.0,Dine-out,JP Nagar
23364,Keshava Kabab Centre,No,No,3.2,7,North Indian,200.0,Dine-out,JP Nagar
23365,Udupi Upachar,Yes,No,3.3,13,"South Indian, North Indian, Chinese, Street Food",300.0,Dine-out,JP Nagar
23366,Sree Krishna Kafe,No,No,3.9,115,South Indian,200.0,Dine-out,JP Nagar
23368,Pizza Stop,Yes,No,3.9,386,"Pizza, Italian",600.0,Dine-out,JP Nagar
23369,Donne Biriyani House,Yes,No,3.3,212,"Biryani, Andhra",350.0,Dine-out,JP Nagar
23370,Vinaya Cafe,Yes,No,3.7,55,"South Indian, Street Food, Juices",200.0,Dine-out,JP Nagar
23371,Dal Roti,Yes,No,3.7,117,North Indian,150.0,Dine-out,JP Nagar
23372,Bengalooru Tiffany's,Yes,No,3.1,39,"South Indian, North Indian, Chinese, Street Food",400.0,Dine-out,JP Nagar
23373,Gowdru Mane Oota,Yes,No,3.7,82,"South Indian, Andhra",400.0,Dine-out,JP Nagar
23374,Rolls On Wheels,No,No,3.1,138,"Fast Food, Rolls, Momos",300.0,Dine-out,JP Nagar
23375,Calvin's,No,No,2.9,231,"Desserts, Italian, Pizza",800.0,Dine-out,JP Nagar
23376,Melting Pot at Woodrose,Yes,No,3.7,19,North Indian,800.0,Dine-out,JP Nagar
23377,Kesar Restaurant,Yes,No,3.6,48,"North Indian, Chinese, South Indian",200.0,Dine-out,JP Nagar
23378,Waikiki,No,No,3.2,5,"Fast Food, Beverages",200.0,Dine-out,JP Nagar
23379,Mini Forest,No,No,3.3,6,"Fast Food, Desserts",500.0,Dine-out,JP Nagar
23380,Pappu Chaiwalla,No,No,3.6,140,"Fast Food, Tea, Beverages",300.0,Dine-out,JP Nagar
23381,Gopal Kabab Centre,No,No,3.3,4,North Indian,350.0,Dine-out,JP Nagar
23382,Cafe Bollywood,No,No,3.4,25,Street Food,200.0,Dine-out,JP Nagar
23386,The Cake Ville,Yes,No,3.2,18,"Bakery, Desserts, Fast Food",300.0,Dine-out,JP Nagar
23387,Wow Momo,Yes,No,3.3,12,"Tibetan, Momos",300.0,Dine-out,JP Nagar
23388,Hotel Coorg Style,No,No,3.1,9,South Indian,350.0,Dine-out,JP Nagar
23389,Nandi Bidadi Thatte Idli,No,No,2.9,33,South Indian,100.0,Dine-out,JP Nagar
23390,Gowdru Military Hotel,No,No,3.2,5,"Biryani, South Indian",300.0,Dine-out,JP Nagar
23391,Appam Centre,No,No,3.2,4,Kerala,200.0,Dine-out,JP Nagar
23394,Sang Grail,No,No,3.6,34,Healthy Food,300.0,Dine-out,JP Nagar
23402,Akshaya Donne Biriyani,Yes,No,3.0,39,"Biryani, South Indian, Kebab",300.0,Dine-out,JP Nagar
23403,Ande Ka Funda,Yes,No,3.1,22,"North Indian, Fast Food, Rolls",250.0,Dine-out,JP Nagar
23404,Earth Plate Express,Yes,No,3.9,33,"Italian, Continental",600.0,Dine-out,JP Nagar
23407,Once In Nature,Yes,No,3.7,37,Healthy Food,300.0,Dine-out,JP Nagar
23408,SLV Upahara,No,No,3.5,4,"South Indian, North Indian",200.0,Dine-out,JP Nagar
23410,Impala Biryani,No,No,3.2,4,"Biryani, North Indian",150.0,Dine-out,JP Nagar
23411,SB FOODS,No,No,3.3,4,South Indian,250.0,Dine-out,JP Nagar
23414,Chilli N Chicken,No,No,3.2,4,Andhra,400.0,Dine-out,JP Nagar
23415,Biryani Times,No,No,3.5,16,Biryani,300.0,Dine-out,JP Nagar
23421,Tandoori Spot,No,No,3.5,13,"North Indian, Chinese",500.0,Dine-out,JP Nagar
23425,Thindi Mane,No,No,3.4,6,South Indian,300.0,Dine-out,JP Nagar
23428,Chicken Dera,No,No,3.0,25,"Mughlai, Kebab, Biryani",400.0,Dine-out,JP Nagar
23429,South Indian Kitchen,No,No,3.3,6,"Asian, BBQ, South Indian, Chinese",300.0,Dine-out,JP Nagar
23444,Special Biriyani,No,No,2.9,4,"North Indian, Biryani",300.0,Dine-out,JP Nagar
23446,Samosa Singh,Yes,No,3.5,4,"North Indian, Mithai",250.0,Dine-out,JP Nagar
23448,Nati Palace,Yes,No,3.5,11,"South Indian, North Indian",200.0,Dine-out,JP Nagar
23449,The Chocolate Room,Yes,No,3.9,153,"Cafe, Desserts",400.0,Dine-out,JP Nagar
23450,Naati Manae,Yes,No,3.1,10,"South Indian, Biryani",500.0,Dine-out,JP Nagar
23451,Chilly N Chicken,No,No,3.5,14,"Andhra, Biryani",250.0,Dine-out,JP Nagar
23452,Fujian Express,Yes,No,3.4,35,"Chinese, Thai",200.0,Dine-out,JP Nagar
23453,Banashankari Nati Style,Yes,No,3.6,8,South Indian,300.0,Dine-out,JP Nagar
23454,Five Star Chicken,Yes,No,3.9,62,"Burger, Fast Food, Roast Chicken, Finger Food",300.0,Dine-out,JP Nagar
23455,Halli Mane MUDDE OOTA,Yes,No,3.5,14,South Indian,300.0,Dine-out,JP Nagar
23456,Deja Vu Resto Bar,Yes,Yes,4.4,2496,"North Indian, Italian",900.0,Dine-out,JP Nagar
23457,The Yellow Submarine,No,Yes,4.4,2075,"Continental, North Indian, Chinese, Pizza, Thai",1200.0,Dine-out,JP Nagar
23458,Chianti,No,Yes,4.5,787,Italian,1500.0,Dine-out,JP Nagar
23459,Chavadi,Yes,Yes,4.4,2241,"Continental, North Indian, Pizza, Italian",1200.0,Dine-out,JP Nagar
23460,Public - The Rooftop Bar And Kitchen,No,Yes,4.3,966,"North Indian, South Indian, Andhra, Chinese",1000.0,Dine-out,JP Nagar
23461,Nagarjuna,No,No,4.2,1292,"Andhra, Biryani",800.0,Dine-out,JP Nagar
23462,Fattoush,Yes,Yes,4.2,1976,"Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood",1000.0,Dine-out,JP Nagar
23463,Galito's,Yes,No,4.6,409,"African, Burger",1000.0,Dine-out,JP Nagar
23465,Hyderabad Biryaani House,Yes,No,3.6,798,"Biryani, North Indian, Chinese",550.0,Dine-out,JP Nagar
23467,Chung Wah,Yes,No,4.0,539,"Chinese, Thai, Momos, Vietnamese",800.0,Dine-out,JP Nagar
23468,Nellore Ruchulu,Yes,No,3.7,32,"North Indian, South Indian, Chinese",800.0,Dine-out,JP Nagar
23469,Punjabi Times,Yes,Yes,4.1,1027,North Indian,1000.0,Dine-out,JP Nagar
23470,Dadi's Dum Biryani,Yes,Yes,4.0,743,"Biryani, North Indian, Mughlai",800.0,Dine-out,JP Nagar
23471,Kundana,Yes,No,3.7,111,"Andhra, Biryani",800.0,Dine-out,JP Nagar
23473,Suryawanshi,Yes,No,3.8,18,"Maharashtrian, Seafood",700.0,Dine-out,JP Nagar
23474,Vaho Kafe & Pressery,No,No,3.9,124,"Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices",500.0,Dine-out,JP Nagar
23475,Dreamcatcher,Yes,No,3.9,50,Cafe,600.0,Dine-out,JP Nagar
23476,A2B - Adyar Ananda Bhavan,Yes,No,2.7,426,"South Indian, North Indian, Chinese, Street Food, Fast Food",400.0,Dine-out,JP Nagar
23477,Malhar Maharashtrian Cuisine,Yes,No,4.0,101,Maharashtrian,500.0,Dine-out,JP Nagar
23478,Hyderabadi Bawarchi,Yes,No,3.2,136,"North Indian, Chinese, Biryani",500.0,Dine-out,JP Nagar
23479,Sakshi,Yes,No,3.0,38,"North Indian, Biryani, Chinese, Seafood",550.0,Dine-out,JP Nagar
23480,Marwa Restaurant,Yes,Yes,3.5,551,"North Indian, Chinese, Fast Food, BBQ",600.0,Dine-out,JP Nagar
23481,Chow San,Yes,No,3.1,122,"Chinese, Thai, Momos",500.0,Dine-out,JP Nagar
23482,Thalassery Food Court,Yes,No,3.5,9,"Kerala, Arabian, Seafood, Beverages",650.0,Dine-out,JP Nagar
23484,Guru Garden,No,No,2.9,107,"North Indian, Chinese",450.0,Dine-out,JP Nagar
23485,Guru Paradise,No,Yes,2.9,200,"Chinese, South Indian, North Indian",1000.0,Dine-out,JP Nagar
23486,Status,No,No,3.3,67,"North Indian, Chinese",600.0,Dine-out,JP Nagar
23487,Athithi,No,No,2.8,80,"Andhra, Biryani, Chinese, North Indian",650.0,Dine-out,JP Nagar
23488,Shee-Sha Cafe,No,Yes,3.6,39,"Cafe, North Indian, Chinese, Continental",800.0,Dine-out,JP Nagar
23489,D2V Cafe,No,No,3.6,13,Cafe,700.0,Dine-out,JP Nagar
23490,Northern Bites,Yes,No,3.2,51,"North Indian, Chinese",400.0,Dine-out,JP Nagar
23491,Zhangs Classic,Yes,No,2.6,170,"Italian, Chinese, Japanese",600.0,Dine-out,JP Nagar
23492,Coastal Inn,No,No,3.4,66,"Chinese, North Indian, Seafood",800.0,Dine-out,JP Nagar
23493,Aishwarya Parkland,No,No,2.9,59,"Chinese, North Indian",500.0,Dine-out,JP Nagar
23494,Andhra Bhojanam,No,No,3.6,21,"North Indian, South Indian, Andhra",600.0,Dine-out,JP Nagar
23495,Aramane Restaurant,Yes,Yes,2.9,90,"North Indian, South Indian, Seafood, Biryani, Chinese",800.0,Dine-out,JP Nagar
23497,Tandoor Hut,No,No,2.2,90,"North Indian, Chinese",750.0,Dine-out,JP Nagar
23498,Cafe Talk,No,No,3.3,14,"Cafe, Continental, North Indian, Bakery, Desserts",700.0,Dine-out,JP Nagar
23499,Cafe Choco Craze,No,No,3.7,9,"Cafe, Fast Food, Desserts",400.0,Dine-out,JP Nagar
23500,Thalassery Food Court,Yes,No,3.1,4,"Kerala, Arabian, Seafood, Beverages",650.0,Dine-out,JP Nagar
23505,Ammi's Biryani,No,No,2.4,392,"Biryani, North Indian",500.0,Dine-out,JP Nagar
23506,Vasudev Adiga's,No,No,2.3,291,"South Indian, North Indian, Chinese, Street Food",250.0,Dine-out,JP Nagar
23507,Fresh Kitchen,Yes,No,3.3,22,"North Indian, Chinese",600.0,Dine-out,JP Nagar
23508,Madeena Hotel,Yes,No,3.9,54,"North Indian, Mughlai, Biryani",400.0,Dine-out,JP Nagar
23509,Biryani Nights,Yes,No,3.6,19,"South Indian, North Indian, Chinese",400.0,Dine-out,JP Nagar
23510,SGS Non Veg - Gundu Pulav,Yes,No,3.9,121,"Biryani, South Indian",300.0,Dine-out,JP Nagar
23511,Polar Bear,Yes,No,3.9,190,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Dine-out,JP Nagar
23512,Manjushree Upahara,Yes,No,3.8,32,South Indian,150.0,Dine-out,JP Nagar
23513,BoMagic,Yes,No,3.7,22,"North Indian, South Indian, Seafood, Rolls",400.0,Dine-out,JP Nagar
23514,Soup Station,Yes,No,3.7,11,Continental,250.0,Dine-out,JP Nagar
23515,Green Onion,No,No,3.3,50,Chinese,400.0,Dine-out,JP Nagar
23516,Punjabi Corner,Yes,No,3.9,202,"North Indian, Chinese",250.0,Dine-out,JP Nagar
23517,Chaitanya Grand,No,No,3.6,12,"South Indian, North Indian, Chinese",300.0,Dine-out,JP Nagar
23518,Sagar Grand,Yes,No,3.8,31,"South Indian, North Indian, Chinese",300.0,Dine-out,JP Nagar
23519,Burj Hotel,Yes,No,3.5,57,"North Indian, Chinese",350.0,Dine-out,JP Nagar
23520,Kailash Parbat,No,No,3.1,28,"North Indian, Street Food",600.0,Dine-out,JP Nagar
23521,Garma Garam,Yes,No,3.2,146,"North Indian, Chinese, Biryani, Rolls",350.0,Dine-out,JP Nagar
23522,Taco Bell,Yes,No,4.0,911,"Mexican, American, Fast Food",600.0,Dine-out,JP Nagar
23523,Kuttanad,Yes,No,3.6,140,"Kerala, South Indian",200.0,Dine-out,JP Nagar
23524,FRYBIES,Yes,No,3.3,15,Fast Food,350.0,Dine-out,JP Nagar
23525,Shuddh Desi Khana,Yes,No,4.1,600,North Indian,400.0,Dine-out,JP Nagar
23526,Spar Refresh,No,No,3.4,5,"North Indian, South Indian, Pizza",300.0,Dine-out,JP Nagar
23528,Burger King,Yes,No,3.2,188,"Burger, Fast Food, Beverages",600.0,Dine-out,JP Nagar
23530,Marhaba,No,No,3.5,25,"Arabian, Mediterranean, North Indian",500.0,Dine-out,JP Nagar
23531,Smoor,Yes,No,3.6,17,"Desserts, Cafe, Beverages",900.0,Dine-out,JP Nagar
23532,Manjushree Veg,No,No,3.5,11,"South Indian, Chinese",150.0,Dine-out,JP Nagar
23533,Kalpavruksha,Yes,No,3.9,99,"South Indian, North Indian",300.0,Dine-out,JP Nagar
23534,Mom's Momos,No,No,3.7,25,Chinese,100.0,Dine-out,JP Nagar
23535,Sai Shiv Sagar,No,No,2.8,14,"South Indian, North Indian",300.0,Dine-out,JP Nagar
23536,Hot Burg,Yes,No,3.5,51,"Fast Food, Juices",200.0,Dine-out,JP Nagar
23537,Burrito Boys,Yes,No,3.0,6,"Mexican, Tex-Mex",400.0,Dine-out,JP Nagar
23538,Bangaliana,Yes,No,2.9,154,Bengali,600.0,Dine-out,JP Nagar
23539,Arabian Mexico,Yes,No,3.3,53,"Fast Food, Arabian",400.0,Dine-out,JP Nagar
23540,Smoke - The Sizzler House,Yes,No,3.8,95,"Continental, Chinese, Thai, Italian, BBQ, Steak",1100.0,Dine-out,JP Nagar
23541,Panchami Garden,No,No,3.5,56,"South Indian, North Indian",400.0,Dine-out,JP Nagar
23543,Pizza Da Dhaba,No,No,3.2,8,"Fast Food, Pizza",400.0,Dine-out,JP Nagar
23544,Resto,No,No,3.7,40,"Chinese, North Indian, Fast Food, Momos",350.0,Dine-out,JP Nagar
23545,SLV Kabab Centre,No,No,3.2,4,"Biryani, Fast Food",100.0,Dine-out,JP Nagar
23546,Mom's Momos,No,No,3.3,6,Chinese,300.0,Dine-out,JP Nagar
23547,Slice of Spice,No,No,3.1,4,"North Indian, Chinese",400.0,Dine-out,JP Nagar
23548,Bao and Rolls,No,No,3.6,19,"Rolls, Kebab, Fast Food",250.0,Dine-out,JP Nagar
23550,Loca Moca - The Indian Grub,No,No,3.4,4,"North Indian, Biryani",600.0,Dine-out,JP Nagar
